id,problem_name,,explanation,output,original_code,13,comment_less_code
24,C Program to Count Number of Digits in an Integer,49,"To understand this example, you should have the knowledge of the following C programming topics:

C Programming Operators
C while and do...while Loop
This program takes an integer from the user and calculates the number of digits. For example: If the user enters 2319, the output of the program will be 4.

The integer entered by the user is stored in variable n. Then the do...while https://www.programiz.com/c-programming/c-do-while-loops is iterated until the test expression n! = 0 is evaluated to 0 (false).
• After the first iteration, the value of n will be 345 and the count is incremented to 1.
• After the second iteration, the value of n will be 34 and the count is incremented to 2.
• After the third iteration, the value of n will be 3 and the count is incremented to 3.
• After the fourth iteration, the value of n will be 0 and the count is incremented to 4.
• Then the test expression of the loop is evaluated to false and the loop terminates.
Note: We have used a do...while loop to ensure that we get the correct digit count when the user enters 0.",,"#include <stdio.h>
int main() {
long long n;
int count = 0;
printf(""Enter an integer: "");
scanf(""%lld"", &n);
// iterate at least once, then until n becomes 0
// remove last digit from n in each iteration
// increase count by 1 in each iteration
do {
n /= 10;
++count;
} while (n != 0);
printf(""Number of digits: %d"", count);
}",326,"#include <stdio.h>
int main() {
  long long n;
  int count = 0;
  printf(""Enter an integer: "");
  scanf(""%lld"", &n);
 
  do {
    n /= 10;
    ++count;
  } while (n != 0);

  printf(""Number of digits: %d"", count);
}"
25,C Program to Reverse a Number,29,"To understand this example, you should have the knowledge of the following C programming topics:

C Programming Operators
C while and do...while Loop

This program takes integer input from the user. Then the while loop is used until n != 0 is false (0).
In each iteration of the loop, the remainder when n is divided by 10 is calculated and the value of n is reduced by 10 times.
Inside the loop, the reversed number is computed using:

reverse = reverse * 10 + remainder;
Let us see how the while loop works when n = 2345.",,"#include <stdio.h>
int main() {
int n, reverse = 0, remainder;
printf(""Enter an integer: "");
scanf(""%d"", &n);
while (n != 0) {
remainder = n % 10;
reverse = reverse * 10 + remainder;
n /= 10;
}
printf(""Reversed number = %d"", reverse);
return 0;
}",246,"#include <stdio.h>
int main() {
int n, reverse = 0, remainder;
printf(""Enter an integer: "");
scanf(""%d"", &n);
while (n != 0) {
remainder = n % 10;
reverse = reverse * 10 + remainder;
n /= 10;
}
printf(""Reversed number = %d"", reverse);
return 0;
}"
26,C Program to Calculate the Power of a Number,44,"To understand this example, you should have the knowledge of the following C programming topics:

C Programming Operators
C while and do...while Loop
The program below takes two integers from the user (a base number and an exponent) and calculates the power.

For example: In the case of 23

2 is the base number
3 is the exponent
And, the power is equal to 2*2*2

We can also use the pow() function to calculate the power of a number.",,"#include <stdio.h>
int main() {
    int base, exp;
    long double result = 1.0;
    printf(""Enter a base number: "");
    scanf(""%d"", &base);
    printf(""Enter an exponent: "");
    scanf(""%d"", &exp);

    while (exp != 0) {
        result *= base;
        --exp;
    }
    printf(""Answer = %.0Lf"", result);
    return 0;
}",322,"#include <stdio.h>
int main() {
    int base, exp;
    long double result = 1.0;
    printf(""Enter a base number: "");
    scanf(""%d"", &base);
    printf(""Enter an exponent: "");
    scanf(""%d"", &exp);

    while (exp != 0) {
        result *= base;
        --exp;
    }
    printf(""Answer = %.0Lf"", result);
    return 0;
}"
27,C Program to Check Whether a Number is Palindrome or Not,56,"To understand this example, you should have the knowledge of the following C programming topics:

C Programming Operators
C if...else Statement
C while and do...while Loop
An integer is a palindrome if the reverse of that number is equal to the original number.

Here, the user is asked to enter an integer. The number is stored in variable n.

We then assigned this number to another variable orignal. Then, the reverse of n is found and stored in reversed.
If original is equal to reversed, the number entered by the user is a palindrome.",,"#include <stdio.h>
int main() {
  int n, reversed = 0, remainder, original;
    printf(""Enter an integer: "");
    scanf(""%d"", &n);
    original = n;

    // reversed integer is stored in reversed variable
    while (n != 0) {
        remainder = n % 10;
        reversed = reversed * 10 + remainder;
        n /= 10;
    }

    // palindrome if orignal and reversed are equal
    if (original == reversed)
        printf(""%d is a palindrome."", original);
    else
        printf(""%d is not a palindrome."", original);

    return 0;
}",533,"#include <stdio.h>
int main() {
  int n, reversed = 0, remainder, original;
    printf(""Enter an integer: "");
    scanf(""%d"", &n);
    original = n;

    while (n != 0) {
        remainder = n % 10;
        reversed = reversed * 10 + remainder;
        n /= 10;
    }

    if (original == reversed)
        printf(""%d is a palindrome."", original);
    else
        printf(""%d is not a palindrome."", original);

    return 0;
}"
28,C Program to Check Whether a Number is Prime or Not,51,"To understand this example, you should have the knowledge of the following C programming topics:

C if...else Statement
C for Loop
C break and continue
A prime number is a positive integer that is divisible only by 1 and itself. For example: 2, 3, 5, 7, 11, 13, 17.

In the program, a for loop is iterated from i = 2 to i < n/2.
In each iteration, whether n is perfectly divisible by i is checked using:

if (n % i == 0) {
  flag = 1;
  break;
}

If n is perfectly divisible by i, n is not a prime number. In this case, flag is set to 1, and the loop is terminated using the break statement.
Notice that we have initialized flag as 0 during the start of our program.
So, if n is a prime number after the loop, flag will still be 0. However, if n is a non-prime number, flag will be 1.",,"#include <stdio.h>
int main() {
int n, i, flag = 0;
printf(""Enter a positive integer: "");
scanf(""%d"", &n);
// 0 and 1 are not prime numbers
// change flag to 1 for non-prime number
if (n == 0 || n == 1)
flag = 1;
for (i = 2; i <= n / 2; ++i) {
// if n is divisible by i, then n is not prime
// change flag to 1 for non-prime number
if (n % i == 0) {
flag = 1;
break;
}
}
// flag is 0 for prime numbers
if (flag == 0)
printf(""%d is a prime number."", n);
else
printf(""%d is not a prime number."", n);
return 0;
}",509,"#include <stdio.h>

int main() {

  int n, i, flag = 0;
  printf(""Enter a positive integer: "");
  scanf(""%d"", &n);

  if (n == 0 || n == 1)
    flag = 1;

  for (i = 2; i <= n / 2; ++i) {
    if (n % i == 0) {
      flag = 1;
      break;
    }
  }

  if (flag == 0)
    printf(""%d is a prime number."", n);
  else
    printf(""%d is not a prime number."", n);

  return 0;
}"
29,C Program to Display Prime Numbers Between Two Intervals,56,"To understand this example, you should have the knowledge of the following C programming topics:

C if...else Statement
C for Loop
C break and continue

In this program, the while loop is iterated ( high-low-1) times.
In each iteration, whether low is a prime number or not is checked, and the value of low is incremented by 1 until low is equal to high.

Visit this page to learn more about how to https://www.programiz.com/c-programming/examples/prime-number.
If the user enters the larger number first, the above program doesn't work as intended. You can solve this issue by https://www.programiz.com/c-programming/examples/swapping.",,"#include <stdio.h>
int main() {
int low, high, i, flag;
printf(""Enter two numbers(intervals): "");
scanf(""%d %d"", &low, &high);
printf(""Prime numbers between %d and %d are: "", low, high);
// iteration until low is not equal to high
while (low < high) {
flag = 0;
// ignore numbers less than 2
if (low <= 1) {
++low;
continue;
}
// if low is a non-prime number, flag will be 1
for (i = 2; i <= low / 2; ++i) {
if (low % i == 0) {
flag = 1;
break;
}
}
if (flag == 0)
printf(""%d "", low);
// to check prime for the next number
// increase low by 1
++low;
}
return 0;
}",563,"#include <stdio.h>

int main() {
   int low, high, i, flag;
   printf(""Enter two numbers(intervals): "");
   scanf(""%d %d"", &low, &high);
   printf(""Prime numbers between %d and %d are: "");

   while (low < high) {
      flag = 0;

      if (low <= 1) {
         ++low;
         continue;
      }

      for (i = 2; i <= low / 2; ++i) {

         if (low % i == 0) {
            flag = 1;
            break;
         }
      }

      if (flag == 0)
         printf(""%d "", low);

      ++low;
   }

   return 0;
}"
30,C Program to Check Armstrong Number,35,"To understand this example, you should have the knowledge of the following C programming topics:

C if...else Statement
C while and do...while Loop
A positive integer is called an Armstrong number (of order n) if

abcd... = an + bn + cn + dn + 
In the case of an Armstrong number of 3 digits, the sum of cubes of each digit is equal to the number itself. For example, 153 is an Armstrong number because

153 = 1*1*1 + 5*5*5 + 3*3*3

In this program, the number of digits of an integer is calculated first and stored in n. And, the pow() function is used to compute the power of individual digits in each iteration of the second for loop.",,"#include <stdio.h>
int main() {
int num, originalNum, remainder, result = 0;
printf(""Enter a three-digit integer: "");
scanf(""%d"", &num);
originalNum = num;
while (originalNum != 0) {
// remainder contains the last digit
remainder = originalNum % 10;
result += remainder * remainder * remainder;
// removing last digit from the orignal number
originalNum /= 10;
}
if (result == num)
printf(""%d is an Armstrong number."", num);
else
printf(""%d is not an Armstrong number."", num);
return 0;
}",488,"#include <stdio.h>
int main() {
int num, originalNum, remainder, result = 0;
printf(""Enter a three-digit integer: "");
scanf(""%d"", &num);
originalNum = num;
while (originalNum != 0) {
remainder = originalNum % 10;
result += remainder * remainder * remainder;
originalNum /= 10;
}
if (result == num)
printf(""%d is an Armstrong number."", num);
else
printf(""%d is not an Armstrong number."", num);
return 0;
}"
31,C Program to Display Armstrong Number Between Two Intervals,59,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-if-else-statement
• https://www.programiz.com/c-programming/c-for-loop
A positive integer is called an Armstrong number (of order n) if

abcd... = an + bn + cn + dn + 

In the case of an Armstrong number of 3 digits, the sum of cubes of each digit is equal to the number itself. For example, 153 is an Armstrong number because

153 = 1*1*1 + 5*5*5 + 3*3*3

In this program, we will print all the Armstrong numbers between two integers. This means that the two integers will not be part of the range, but only those integers that are between them.
For example, suppose we want to print all Armstrong numbers between 153 and 371. Both of these numbers are also Armstrong numbers.

Then, this program prints all Armstrong numbers that are greater than 153 and less than 371 i.e. 153 and 371 won't be printed even though they are Armstrong numbers.
Tip: Before trying this program, learn how to https://www.programiz.com/c-programming/examples/check-armstrong-number.

In the program, the outer loop is iterated from (low+ 1) to (high - 1). In each iteration, it's checked whether number is an Armstrong number or not.
Inside the outer loop, the number of digits of an integer is calculated first and stored in count. And, the sum of the power of individual digits is stored in the result variable.
If number is equal to result, the number is an Armstrong number.
Notes:
• You need to swap low and high if the user input for high is less than that of low. To learn more, check our example on https://www.programiz.com/c-programming/examples/swapping.
• You need to reset count and result to 0 in each iteration of the outer loop.",,"#include <math.h>
#include <stdio.h>
int main() {
int low, high, number, originalNumber, rem, count = 0;
double result = 0.0;
printf(""Enter two numbers(intervals): "");
scanf(""%d %d"", &low, &high);
printf(""Armstrong numbers between %d and %d are: "", low, high);
// swap numbers if high < low
if (high < low) {
high += low;
low = high - low;
high -= low;
}
// iterate number from (low + 1) to (high - 1)
// In each iteration, check if number is Armstrong
for (number = low + 1; number < high; ++number) {
originalNumber = number;
// number of digits calculation
while (originalNumber != 0) {
originalNumber /= 10;
++count;
}
originalNumber = number;
// result contains sum of nth power of individual digits
while (originalNumber != 0) {
rem = originalNumber % 10;
result += pow(rem, count);
originalNumber /= 10;
}
// check if number is equal to the sum of nth power of individual digits
if ((int)result == number) {
printf(""%d "", number);
}
// resetting the values
count = 0;
result = 0;
}
return 0;
}",1000,"#include <math.h>
#include <stdio.h>
int main() {
  int low, high, number, originalNumber, rem, count = 0;
  double result = 0.0;
  printf(""Enter two numbers(intervals): "");
  scanf(""%d %d"", &low, &high);
  printf(""Armstrong numbers between %d and %d are: "", low, high);

  if (high < low) {
    high += low;
    low = high - low;
    high -= low;
  }
   
  for (number = low + 1; number < high; ++number) {
    originalNumber = number;

    while (originalNumber != 0) {
      originalNumber /= 10;
      ++count;
    }

    originalNumber = number;

    while (originalNumber != 0) {
      rem = originalNumber % 10;
      result += pow(rem, count);
      originalNumber /= 10;
    }

    if ((int)result == number) {
      printf(""%d "", number);
    }

    count = 0;
    result = 0;
  }

  return 0;
}"
32,C Program to Display Factors of a Number,40,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-operators
• https://www.programiz.com/c-programming/c-if-else-statement
• https://www.programiz.com/c-programming/c-for-loop
This program takes a positive integer from the user and displays all the positive factors of that number.

In the program, a positive integer entered by the user is stored in num.

The for loop is iterated until i is false.
In each iteration, whether num is exactly divisible by i is checked. It is the condition for i to be a factor of num.

if (num % i == 0) {
            printf(""%d "", i);
}

Then the value of i is incremented by 1.",,"#include <stdio.h>
int main() {
int num, i;
printf(""Enter a positive integer: "");
scanf(""%d"", &num);
printf(""Factors of %d are: "", num);
for (i = 1; i <= num; ++i) {
if (num % i == 0) {
printf(""%d "", i);
}
}
return 0;
}",219,"#include <stdio.h>
int main() {
    int num, i;
    printf(""Enter a positive integer: "");
    scanf(""%d"", &num);
    printf(""Factors of %d are: "", num);
    for (i = 1; i <= num; ++i) {
        if (num % i == 0) {
            printf(""%d "", i);
        }
    }
    return 0;
}"
33,C Program to Make a Simple Calculator Using switch...case,57,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-switch-case-statement
• https://www.programiz.com/c-programming/c-break-continue-statement
This program takes an arithmetic operator +, -, *, / and two operands from the user. Then, it performs the calculation on the two operands depending upon the operator entered by the user.

The * operator entered by the user is stored in op. And, the two operands, 1.5 and 4.5 are stored in first and second respectively.
Since the operator * matches case '*':, the control of the program jumps to

printf(""%.1lf * %.1lf = %.1lf"", first, second, first * second);


This statement calculates the product and displays it on the screen.
To make our output look cleaner, we have simply limited the output to one decimal place using the code %.1lf.
Finally, the break; statement ends the switch statement.","Enter an operator (+, -, *,): *
Enter two operands: 1.5
4.5
1.5 * 4.5 = 6.8","#include <stdio.h>

int main() {

  char op;
  double first, second;
  printf(""Enter an operator (+, -, *, /): "");
  scanf(""%c"", &op);
  printf(""Enter two operands: "");
  scanf(""%lf %lf"", &first, &second);

  switch (op) {
    case '+':
      printf(""%.1lf + %.1lf = %.1lf"", first, second, first + second);
      break;
    case '-':
      printf(""%.1lf - %.1lf = %.1lf"", first, second, first - second);
      break;
    case '*':
      printf(""%.1lf * %.1lf = %.1lf"", first, second, first * second);
      break;
    case '/':
      printf(""%.1lf / %.1lf = %.1lf"", first, second, first / second);
      break;
    // operator doesn't match any case constant
    default:
      printf(""Error! operator is not correct"");
  }

  return 0;
}",738,"#include <stdio.h>
int main() {
char op;
double first, second;
printf(""Enter an operator (+, -, , /): "");
scanf(""%c"", &op);
printf(""Enter two operands: "");
scanf(""%lf %lf"", &first, &second);
switch (op) {
case '+':
printf(""%.1lf + %.1lf = %.1lf"", first, second, first + second);
break;
case '-':
printf(""%.1lf - %.1lf = %.1lf"", first, second, first - second);
break;
case '':
printf(""%.1lf * %.1lf = %.1lf"", first, second, first * second);
break;
case '/':
printf(""%.1lf / %.1lf = %.1lf"", first, second, first / second);
break;
default:
printf(""Error! operator is not correct"");
}
return 0;
}"
34,C Program to Display Prime Numbers Between Intervals Using Function,67,"To understand this example, you should have the knowledge of the following C programming topics:

C for Loop
C break and continue
C Functions
C User-defined functions
Make sure you visit these tutorials before looking at this example:

Check Whether a Number is Prime or Not
Swap Two Numbers

Explanation
1. In this program, we print all the prime numbers between n1 and n2. If n1 is greater than n2, we https://www.programiz.com/c-programming/examples/swapping#example2:

if (n1 > n2) {
  n1 = n1 + n2;
  n2 = n1 - n2;
  n1 = n1 - n2;
}
2. Then, we run a for loop from i = n1 + 1 to i = n2 - 1.

In each iteration of the loop, we check if i is a prime number using the checkPrimeNumber() function.
If i is prime, we print it.

for (i = n1 + 1; i < n2; ++i) {
  flag = checkPrimeNumber(i);
  if (flag == 1)
    printf(""%d "", i);
  }
}

3. The checkPrimeNumber() function contains the code to https://www.programiz.com/c-programming/examples/prime-number.

int checkPrimeNumber(int n) {
  int j, flag = 1;
  for (j = 2; j <= n / 2; ++j) {
    if (n % j == 0) {
      flag = 0;
      break;
    }
  }
  return flag;
}","Enter two positive integers: 12
30
Prime numbers between 12 and 30 are: 13 17 19 23 29","#include <stdio.h>
int checkPrimeNumber(int n);
int main() {

  int n1, n2, i, flag;

  printf(""Enter two positive integers: "");
  scanf(""%d %d"", &n1, &n2);

  // swap n1 and n2 if n1 > n2
  if (n1 > n2) {
    n1 = n1 + n2;
    n2 = n1 - n2;
    n1 = n1 - n2;
  }

  printf(""Prime numbers between %d and %d are: "", n1, n2);
  for (i = n1 + 1; i < n2; ++i) {

    // flag will be equal to 1 if i is prime
    flag = checkPrimeNumber(i);

    if (flag == 1) {
      printf(""%d "", i);
    }
  }
  
  return 0;
}

// user-defined function to check prime number
int checkPrimeNumber(int n) {
  int j, flag = 1;

  for (j = 2; j <= n / 2; ++j) {

    if (n % j == 0) {
      flag = 0;
      break;
    }
  }

  return flag;
}",719,"#include <stdio.h>
int checkPrimeNumber(int n);
int main() {

  int n1, n2, i, flag;

  printf(""Enter two positive integers: "");
  scanf(""%d %d"", &n1, &n2);

  if (n1 > n2) {
    n1 = n1 + n2;
    n2 = n1 - n2;
    n1 = n1 - n2;
  }

  printf(""Prime numbers between %d and %d are: "", n1, n2);
  for (i = n1 + 1; i < n2; ++i) {
    flag = checkPrimeNumber(i);

    if (flag == 1) {
      printf(""%d "", i);
    }
  }
  
  return 0;
}

int checkPrimeNumber(int n) {
  int j, flag = 1;

  for (j = 2; j <= n / 2; ++j) {
    if (n % j == 0) {
      flag = 0;
      break;
    }
  }

  return flag;
}"
35,C Program to Check Prime or Armstrong Number Using User-defined Function,72,"To understand this example, you should have the knowledge of the following C programming topics:

C for Loop
C while and do...while Loop
C break and continue
C Functions
Types of User-defined Functions in C Programming
Visit these pages to learn to check whether a number is

a prime number or not
an Armstrong number or not

In this program, two user-defined functions checkPrimeNumber() and checkArmstrongNumber() are created.
The checkPrimeNumber() function returns:
• 1 if the number entered by the user is a prime number.
• 0 if the number entered by the user is not a prime number.

Similarly, checkArmstrongNumber() function returns:
• 1 if the number entered by the user is an Armstrong number.
• 0 if the number entered by the user is not an Armstrong number.
Note: In checkPrimeNumber() and checkArmstrongNumber() functions, the flag variables are the return value of the functions.
In main(), the flag variable stores the values returned by checkPrimeNumber() and checkArmstrongNumber().","Enter a positive integer: 407
407 is not a prime number.
407 is an Armstrong number.","#include <math.h>
#include <stdio.h>
int checkPrimeNumber(int n);
int checkArmstrongNumber(int n);
int main() {
int n, flag;
printf(""Enter a positive integer: "");
scanf(""%d"", &n);
// check prime number
flag = checkPrimeNumber(n);
if (flag == 1)
printf(""%d is a prime number.\n"", n);
else
printf(""%d is not a prime number.\n"", n);
// check Armstrong number
flag = checkArmstrongNumber(n);
if (flag == 1)
printf(""%d is an Armstrong number."", n);
else
printf(""%d is not an Armstrong number."", n);
return 0;
}
// function to check prime number
int checkPrimeNumber(int n) {
int i, flag = 1, squareRoot;
// computing the square root
squareRoot = sqrt(n);
for (i = 2; i <= squareRoot; ++i) {
// condition for non-prime number
if (n % i == 0) {
flag = 0;
break;
}
}
return flag;
}
// function to check Armstrong number
int checkArmstrongNumber(int num) {
int originalNum, remainder, n = 0, flag;
double result = 0.0;
// store the number of digits of num in n
for (originalNum = num; originalNum != 0; ++n) {
originalNum /= 10;
}
for (originalNum = num; originalNum != 0; originalNum /= 10) {
remainder = originalNum % 10;
// store the sum of the power of individual digits in result
result += pow(remainder, n);
}
// condition for Armstrong number
if (round(result) == num)
flag = 1;
else
flag = 0;
return flag;
}",1306,"#include <math.h>
#include <stdio.h>
int checkPrimeNumber(int n);
int checkArmstrongNumber(int n);
int main() {
int n, flag;
printf(""Enter a positive integer: "");
scanf(""%d"", &n);
flag = checkPrimeNumber(n);
if (flag == 1)
printf(""%d is a prime number.\n"", n);
else
printf(""%d is not a prime number.\n"", n);
flag = checkArmstrongNumber(n);
if (flag == 1)
printf(""%d is an Armstrong number."", n);
else
printf(""%d is not an Armstrong number."", n);
return 0;
}
int checkPrimeNumber(int n) {
int i, flag = 1, squareRoot;
squareRoot = sqrt(n);
for (i = 2; i <= squareRoot; ++i) {
if (n % i == 0) {
flag = 0;
break;
}
}
return flag;
}
int checkArmstrongNumber(int num) {
int originalNum, remainder, n = 0, flag;
double result = 0.0;
for (originalNum = num; originalNum != 0; ++n) {
originalNum /= 10;
}
for (originalNum = num; originalNum != 0; originalNum /= 10) {
remainder = originalNum % 10;
result += pow(remainder, n);
}
if (round(result) == num)
flag = 1;
else
flag = 0;
return flag;
}"
36,C Program to Check Whether a Number can be Expressed as Sum of Two Prime Numbers,80,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-if-else-statement
• https://www.programiz.com/c-programming/c-for-loop
• https://www.programiz.com/c-programming/c-functions
• https://www.programiz.com/c-programming/c-user-defined-functions
This program takes a positive integer from the user and checks whether that number can be expressed as the sum of two prime numbers.
If the number can be expressed as the sum of two prime numbers, the output shows the combination of the prime numbers.
To perform this task, a user-defined function is created to https://www.programiz.com/c-programming/examples/prime-number.

In this program, we use the checkPrime() function to check whether a number is prime or not.
In main(), we take a number from the user and store it in the variable n.
We also initialize the int variable flag to 0. We use this variable to determine whether the input number can be expressed as the sum of two prime numbers.

We then iterate a loop from i = 2 to i = n/2. In each iteration, we check whether i is a prime number or not.
If i is a prime, we check whether n - i is prime or not.
If n - i is also a prime, then we know that n can be expressed as the sum of two prime numbers i and n - i.
So, we print the result on the screen and change the value of flag to 1. Otherwise, flag remains 0.
This process continues until the loop ends.
If flag is still 0, then we know that n can't be expressed as the sum of two primes, and we print that message on the screen.","Enter a positive integer: 34
34 = 3 + 31
34 = 5 + 29
34 = 11 + 23
34 = 17 + 17","#include <stdio.h>
int checkPrime(int n);
int main() {
int n, i, flag = 0;
printf(""Enter a positive integer: "");
scanf(""%d"", &n);
for (i = 2; i <= n / 2; ++i) {
// condition for i to be a prime number
if (checkPrime(i) == 1) {
// condition for n-i to be a prime number
if (checkPrime(n - i) == 1) {
printf(""%d = %d + %d\n"", n, i, n - i);
flag = 1;
}
}
}
if (flag == 0)
printf(""%d cannot be expressed as the sum of two prime numbers."", n);
return 0;
}
// function to check prime number
int checkPrime(int n) {
int i, isPrime = 1;
// 0 and 1 are not prime numbers
if (n == 0 || n == 1) {
isPrime = 0;
}
else {
for(i = 2; i <= n/2; ++i) {
if(n % i == 0) {
isPrime = 0;
break;
}
}
}
return isPrime;
}",696,"#include <stdio.h>
int checkPrime(int n);
int main() {
int n, i, flag = 0;
printf(""Enter a positive integer: "");
scanf(""%d"", &n);
for (i = 2; i <= n / 2; ++i) {
if (checkPrime(i) == 1) {
if (checkPrime(n - i) == 1) {
printf(""%d = %d + %d\n"", n, i, n - i);
flag = 1;
}
}
}
if (flag == 0)
printf(""%d cannot be expressed as the sum of two prime numbers."", n);
return 0;
}
int checkPrime(int n) {
int i, isPrime = 1;
if (n == 0 || n == 1) {
isPrime = 0;
}
else {
for(i = 2; i <= n/2; ++i) {
if(n % i == 0) {
isPrime = 0;
break;
}
}
}
return isPrime;
}"
37,C Program to Find the Sum of Natural Numbers using Recursion,60,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-user-defined-functions
• https://www.programiz.com/c-programming/c-recursion
The positive numbers 1, 2, 3... are known as natural numbers. The program below takes a positive integer from the user and calculates the sum up to the given number.
Visit this page to https://www.programiz.com/c-programming/examples/sum-natural-numbers.

Suppose the user entered 20.

Initially, addNumbers() is called from main() with 20 passed as an argument.
The number 20 is added to the result of addNumbers(19).
In the next function call from addNumbers() to addNumbers(), 19 is passed which is added to the result of addNumbers(18). This process continues until n is equal to 0.
When n is equal to 0, there is no recursive call. This returns the sum of integers ultimately to the main() function.","Enter a positive integer: 20
Sum = 210","#include <stdio.h>
int addNumbers(int n);
int main() {
int num;
printf(""Enter a positive integer: "");
scanf(""%d"", &num);
printf(""Sum = %d"", addNumbers(num));
return 0;
}
int addNumbers(int n) {
if (n != 0)
return n + addNumbers(n - 1);
else
return n;
}",252,"#include <stdio.h>
int addNumbers(int n);
int main() {
int num;
printf(""Enter a positive integer: "");
scanf(""%d"", &num);
printf(""Sum = %d"", addNumbers(num));
return 0;
}
int addNumbers(int n) {
if (n != 0)
return n + addNumbers(n - 1);
else
return n;
}"
38,C Program to Find Factorial of a Number Using Recursion,55,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-functions
• https://www.programiz.com/c-programming/c-user-defined-functions
• https://www.programiz.com/c-programming/c-recursion
The factorial of a positive number n is given by:

factorial of n (n!) = 1 * 2 * 3 * 4 *...  * n

The factorial of a negative number doesn't exist. And the factorial of 0 is 1.
You will learn to find the factorial of a number using recursion in this example. Visit this page to learn how you can find the https://www.programiz.com/c-programming/examples/factorial.

Suppose the user entered 6.
Initially, multiplyNumbers() is called from main() with 6 passed as an argument.
Then, 5 is passed to multiplyNumbers() from the same function (recursive call). In each recursive call, the value of argument n is decreased by 1.
When the value of n is less than 1, there is no recursive call and the factorial is returned ultimately to the main() function.","r a positive integer: 6
Factorial of 6 = 720","#include<stdio.h>
long int multiplyNumbers(int n);
int main() {
int n;
printf(""Enter a positive integer: "");
scanf(""%d"",&n);
printf(""Factorial of %d = %ld"", n, multiplyNumbers(n));
return 0;
}
long int multiplyNumbers(int n) {
if (n>=1)
return n*multiplyNumbers(n-1);
else
return 1;
}",284,"#include<stdio.h>
long int multiplyNumbers(int n);
int main() {
int n;
printf(""Enter a positive integer: "");
scanf(""%d"",&n);
printf(""Factorial of %d = %ld"", n, multiplyNumbers(n));
return 0;
}
long int multiplyNumbers(int n) {
if (n>=1)
return n*multiplyNumbers(n-1);
else
return 1;
}"
39,C Program to Find G.C.D Using Recursion,39,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-functions
• https://www.programiz.com/c-programming/c-user-defined-functions
• https://www.programiz.com/c-programming/c-recursion
This program takes two positive integers as input from the user and calculates GCD using recursion.
Visit this page to learn how you can https://www.programiz.com/c-programming/examples/hcf-gcd.

In this program, recursive calls are made until the value of n2 is equal to 0.","Enter two positive integers: 366
60
G.C.D of 366 and 60 is 6.","#include <stdio.h>
int hcf(int n1, int n2);
int main() {
int n1, n2;
printf(""Enter two positive integers: "");
scanf(""%d %d"", &n1, &n2);
printf(""G.C.D of %d and %d is %d."", n1, n2, hcf(n1, n2));
return 0;
}
int hcf(int n1, int n2) {
if (n2 != 0)
return hcf(n2, n1 % n2);
else
return n1;
}",287,"#include <stdio.h>
int hcf(int n1, int n2);
int main() {
int n1, n2;
printf(""Enter two positive integers: "");
scanf(""%d %d"", &n1, &n2);
printf(""G.C.D of %d and %d is %d."", n1, n2, hcf(n1, n2));
return 0;
}
int hcf(int n1, int n2) {
if (n2 != 0)
return hcf(n2, n1 % n2);
else
return n1;
}"
40,C Program to Convert Binary Number to Decimal and vice-versa,60,"To understand this example, you should have the knowledge of the following C programming topics:

C Functions
C User-defined functions

In the program, we have included the header file math.h to perform mathematical operations in the program.
We ask the user to enter a binary number and pass it to the convert() function to convert it decimal.
Suppose n = 1101. Let's see how the while loop in the convert() function works.n != 0rem = n % 10n /= 10idec += rem * pow(2, i)1101 != 01101 % 10 = 11101 / 10 = 11000 + 1 * pow (2, 0) = 1110 != 0110 % 10 = 0110 / 10 = 1111 + 0 * pow (2, 1) = 110 != 011 % 10 = 111 /10 = 121 + 1 * pow (2, 2) = 51 != 01 % 10 = 11 / 10 = 035 + 1 * pow (2, 3) = 130 != 0---Loop terminates
So, 1101 in binary is 13 in decimal.","Enter a binary number: 1101
1101 in binary = 13 in decimal","// convert binary to decimal

#include <stdio.h>
#include <math.h>

// function prototype
int convert(long long);

int main() {

  long long n;

  printf(""Enter a binary number: "");
  scanf(""%lld"", &n);

  printf(""%lld in binary = %d in decimal"", n, convert(n));

  return 0;
}

// function definition
int convert(long long n) {

  int dec = 0, i = 0, rem;

  while (n != 0) {

    // get remainder of n divided by 10
    rem = n % 10;

    // divide n by 10
    n /= 10;

    // multiply rem by (2 ^ i)
    // add the product to dec
    dec += rem * pow(2, i);

    // increment i
    ++i;
  }

  return dec;
}",611,"#include <stdio.h>
#include <math.h>

int convert(long long);

int main() {

  long long n;

  printf(""Enter a binary number: "");
  scanf(""%lld"", &n);

  printf(""%lld in binary = %d in decimal"", n, convert(n));

  return 0;
}

int convert(long long n) {

  int dec = 0, i = 0, rem;

  while (n != 0) {
    rem = n % 10;
    n /= 10;
    dec += rem * pow(2, i);
    ++i;
  }

  return dec;
}"
